challenge,llm,output_exists,output_match
challenges/dna_align/,claude-opus,False,False
challenges/dna_align/,claude-sonnet,True,False
challenges/dna_align/,claude-35-sonnet,True,True
challenges/dna_align/,gpt-4o,True,False
challenges/dna_align/,gpt-turbo,False,False
challenges/dna_align/,gpt-4,False,False
challenges/gb_to_fasta/,claude-opus,True,True
challenges/gb_to_fasta/,claude-sonnet,True,True
challenges/gb_to_fasta/,claude-35-sonnet,True,True
challenges/gb_to_fasta/,gpt-4o,True,True
challenges/gb_to_fasta/,gpt-turbo,True,True
challenges/gb_to_fasta/,gpt-4,True,True
challenges/protein_align/,claude-opus,True,False
challenges/protein_align/,claude-sonnet,True,False
challenges/protein_align/,claude-35-sonnet,True,True
challenges/protein_align/,gpt-4o,True,True
challenges/protein_align/,gpt-turbo,False,False
challenges/protein_align/,gpt-4,False,False
challenges/reverse_complement/,claude-opus,True,True
challenges/reverse_complement/,claude-sonnet,True,True
challenges/reverse_complement/,claude-35-sonnet,True,True
challenges/reverse_complement/,gpt-4o,True,True
challenges/reverse_complement/,gpt-turbo,True,True
challenges/reverse_complement/,gpt-4,True,True
challenges/sort_melt_temp/,claude-opus,False,False
challenges/sort_melt_temp/,claude-sonnet,True,True
challenges/sort_melt_temp/,claude-35-sonnet,True,True
challenges/sort_melt_temp/,gpt-4o,True,True
challenges/sort_melt_temp/,gpt-turbo,False,False
challenges/sort_melt_temp/,gpt-4,True,True
